05/21/19 12:47:49:132 | [INFO] |  |  |  | AGSService |  |  | 724 | AdobeGCData folder already exists, validating permissions
05/21/19 12:47:49:132 | [INFO] |  |  |  | AGSService |  |  | 724 | Successfully created/fetched AdobeGCData Folder
05/21/19 12:47:49:132 | [ERROR] |  |  |  | AGSService |  |  | 724 | Successfully updated AdobeGCLaunchEvent DB permissions
05/21/19 12:47:49:132 | [ERROR] |  |  |  | AGSService |  |  | 724 | Successfully updated AdobeNGLAppIDMap DB permissions
05/21/19 12:52:53:795 | [INFO] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 81904 | AdobeGCInvokerUtility : inside getLatestGCApplication
05/21/19 12:52:53:796 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 81904 | ***********AdobeGC Updater library invoked = 6.3.0.73 ************
05/21/19 12:52:53:796 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 81904 | Perform WF started
05/21/19 12:52:53:796 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 81904 | Perform WF completed
05/21/19 12:52:53:796 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 81904 | AdobeGCInvokerUtility :inside waitForCFUCallBack.
05/21/19 12:52:53:796 | [DEBUG] |  |  |  | AdobeGCUpdaterCFU |  |  | 81983 | Trying to acquire the semaphore
05/21/19 12:52:53:796 | [DEBUG] |  |  |  | AdobeGCUpdaterCFU |  |  | 81983 | Semaphore acquired
05/21/19 12:52:53:796 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 81983 | Threaded CFU Started
05/21/19 12:52:53:796 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 81983 | Get client install path Started
05/21/19 12:52:53:797 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 81983 | Get client install path Ended
05/21/19 12:52:53:797 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 81983 | Client sanitization started
05/21/19 12:52:53:797 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 81983 | Invoked VerifyCodeSign for app: /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app
05/21/19 12:52:55:047 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 81983 | Status returned is 0 
05/21/19 12:52:55:047 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 81983 | Code signature is OK. 
05/21/19 12:52:55:047 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 81983 | Completed VerifyCodeSign. 
05/21/19 12:52:55:059 | [INFO] |  |  |  | AdobeGCVersionWrapper |  |  | 81983 | Getting version of package at /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app
05/21/19 12:52:55:060 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 81983 | Client sanitization ended
